nse,bse,isin
KESORAMIND,502937,INE087A01019
KEYCORPSER,512597,INE681C01015
KGL,531687,INE299C01024
KHAITANELE,504269,INE761A01019
KHAITANLTD,590068,INE731C01018
KHANDSE,531892,INE060B01014
KICL,533302,INE029L01018
KILITCH,524500,INE729D01010
KINGFA,524019,INE473D01015
KIRIINDUS,532967,INE415I01015
KIRLOSBROS,500241,INE732A01036
KIRLOSENG,533293,INE146L01010
KIRLOSIND,500243,INE250A01039
KITEX,521248,INE602G01020
KKCL,532732,INE401H01017
KMSUGAR,532673,INE157H01023
KNRCON,532942,INE634I01029
KOHINOOR,512559,INE080B01012
KOKUYOCMLN,523207,INE760A01029
KOLTEPATIL,532924,INE094I01018
KOPRAN,524280,INE082A01010
KOTAKBANK,500247,INE237A01028
KOTHARIPET,532096,INE720A01015
KOTHARIPRO,530299,INE823A01017
KPIT,532400,INE836A01035
KPRMILL,532889,INE930H01023
KRBL,530813,INE001B01026
KREBSBIO,524518,INE268B01013
KRIDHANINF,533482,INE524L01026
KSBPUMPS,500249,INE999A01015
KSCL,532899,INE455I01029
KSERASERA,532081,INE216D01026
KSK,532997,INE143H01015
KSL,500235,INE907A01026
KTIL,533289,INE096L01025
KTKBANK,532652,INE614B01018
KWALITY,531882,INE775B01025
L&TFH,533519,INE498L01015
LAKPRE,506079,INE651C01018
LAKSHMIEFL,519570,INE992B01026
LAKSHVILAS,534690,INE694C01018
LALPATHLAB,539524,INE600L01024
LAMBODHARA,590075,INE112F01022
LAOPALA,526947,INE059D01020
LAURUSLABS,540222,INE947Q01010
LAXMIMACH,500252,INE269B01029
LCCINFOTEC,532019,INE938A01021
LGBBROSLTD,500250,INE337A01034
LGBFORGE,533007,INE201J01017
LIBERTSHOE,526596,INE557B01019
LICHSGFIN,500253,INE115A01026
LINCOLN,531633,INE405C01035
LINCPEN,531241,INE802B01019
LINDEINDIA,523457,INE473A01011
LITL,532778,INE785C01048
LLOYDELENG,517518,INE245C01019
LML,500255,INE862A01015
LOKESHMACH,532740,INE397H01017
LOTUSEYE,532998,INE947I01017
LOVABLE,533343,INE597L01014
LPDC,533012,INE197J01017
LSIL,539992,INE093R01011
LT,500510,INE018A01030
LTI,540005,INE214T01019
LTTS,540115,INE010V01017
LUMAXIND,517206,INE162B01018
LUMAXTECH,532796,INE872H01019
LUPIN,500257,INE326A01037
LUXIND,539542,INE150G01020
